letter	frequency
2012-07-14	44.36
2012-07-16	30.00
2012-07-16	30.00
2012-08-06	309.00
2012-08-31	586.90
2012-08-31	100.00
2013-02-12	3900.00
2013-03-08	134.42
2013-03-10	1300.00
2013-03-15	9420.00
2013-03-18	221.68
2013-04-02	92.36
2013-04-10	1300.00
2013-04-10	91.80
2013-04-29	50.79
2013-05-10	91.80
2013-05-10	1300.00
2013-05-13	1150.00
2013-05-15	105.78
2013-05-26	86.18
2013-06-01	108.95
2013-06-04	66.61
2013-06-10	91.80
2013-06-11	148.90
2013-06-11	221.44
2013-06-11	1300.00
2013-06-13	30.00
2013-06-15	12.64
2013-06-17	3.00
2013-06-17	23.27
2013-06-22	183.16
2013-06-26	58.43
2013-07-08	1300.00
2013-07-11	113.52
2013-07-13	277.62
2013-07-22	22.37
2013-07-22	90.02
2013-08-02	1139.00
2013-08-14	1300.00
2013-08-14	1186.38
2013-08-14	400.00
2013-08-14	3081.80
2013-09-05	174.10
2013-09-12	1300.00
2013-09-12	17.80
2013-09-12	73.00
2013-09-29	34.90
2013-09-29	80.00
2013-10-10	41.10
2013-10-10	1300.00
2013-10-17	34.90
2013-10-17	143.27
2013-10-23	50.00
2013-11-08	123.37
2013-11-08	96.00
2013-11-08	15.50
2013-11-08	40.00
2013-11-11	115.90
2013-11-11	1300.00
2013-11-22	18.00
2013-11-22	34.90
2013-11-23	51.97
2013-12-01	11.61
2013-12-03	4.28
2013-12-03	5.77
2013-12-10	6.09
2013-12-10	10.00
2013-12-10	123.95
2013-12-10	10.90
2013-12-10	32.59
2013-12-10	1300.00
2013-12-11	13.82
2013-12-12	10.00
2013-12-18	34.90
2013-12-18	250.00
2013-12-18	1813.80
2013-12-27	40.00
2013-12-27	5.71
2014-01-08	40.00
2014-01-10	30.03
2014-01-14	1300.00
2014-01-18	14.20
2014-01-18	21.27
2014-01-18	20.00
2014-01-18	36.90
2014-01-18	11.77
2014-01-20	3.00
2014-01-20	38.65
2014-01-20	34.90
2014-01-20	143.71
2014-01-24	80.47
2014-01-28	10.00
2014-01-28	9.40
2014-01-28	27.43
2014-01-31	13.07
2014-02-09	16.50
2014-02-09	160.00
2014-02-10	1300.00
2014-02-12	29.68
2014-02-14	9.83
2014-02-20	19.00
2014-02-20	44.00
2014-02-20	43.58
2014-02-20	108.08
2014-02-21	16.24
2014-02-21	6.72
2014-02-21	5.00
2014-02-25	82.96
2014-03-08	50.23
2014-03-08	15.18
2014-03-11	1300.00
